관리기관명,설치년도,CCTV수
 강서구,2016,597
 금정구,2020,35
 기장군,2016,477
 기장군,2017,775
 기장군,2018,870
 기장군,2019,1013
 기장군,2020,1120
 남구,2016,3171
 동구,2019,649
 동래구,2016,468
 동래구,2017,519
 동래구,2018,629
 동래구,2019,687
 동래구,2020,848
 북구,2016,343
 북구,2017,486
 북구,2018,512
 북구,2019,661
 사상구,2016,333
 사상구,2017,349
 사상구,2018,361
 사상구,2019,378
 사상구,2020,388
 사하구,2016,1185
 사하구,2017,1407
 사하구,2018,1512
 사하구,2019,1801
 사하구,2020,1873
 서구,2016,279
 서구,2017,299
 서구,2018,358
 서구,2019,376
 서구,2020,432
 수영구,2016,547
 수영구,2017,681
 수영구,2018,826
 수영구,2019,1112
 수영구,2020,1207
 연제구,2016,145
 연제구,2017,240
 연제구,2018,298
 연제구,2019,350
 연제구,2020,395
 중구,2016,294
 중구,2017,307
 중구,2018,336
 중구,2019,376
 중구,2020,753
 진구,2016,1005
 해운대구,2016,257
연제구,2020,13
영도구,2016,501
